분류코드,카테고리
2,스포츠/레저>마라톤용품
3,스포츠/레저>당구용품
4,스포츠/레저>기타스포츠용품
6,디지털/가전>노트북
7,디지털/가전>태블릿PC
8,디지털/가전>모니터
11,식품>축산물>기타육류
14,생활/건강>주방용품>도마
17,출산/육아>인형>캐릭터/패션인형
18,출산/육아>인형>기타인형
20,출산/육아>교구>학습보드게임
21,출산/육아>교구>비디오/DVD
23,출산/육아>유아동잡화>양말
24,출산/육아>유아동잡화>우산
25,출산/육아>유아동잡화>벨트/멜빵
27,생활/건강>반려동물>햄스터용품
28,생활/건강>반려동물>고슴도치용품
29,생활/건강>반려동물>토끼용품
30,생활/건강>반려동물>조류용품
31,생활/건강>반려동물>기타반려동물용품
33,생활/건강>음반>국내앨범
34,생활/건강>음반>해외앨범
36,생활/건강>DVD>애니메이션
37,생활/건강>DVD>뮤직비디오
38,생활/건강>DVD>취미/스포츠
39,생활/건강>DVD>종교
40,생활/건강>DVD>교육
41,생활/건강>DVD>교양/다큐멘터리
42,생활/건강>DVD>유아/어린이
44,생활/건강>종교>불교용품
45,생활/건강>종교>천주교용품
46,생활/건강>종교>기독교용품
48,디지털/가전>휴대폰>공기계/중고폰
49,디지털/가전>휴대폰>해외출시폰
51,디지털/가전>휴대폰액세서리>휴대폰케이블
52,디지털/가전>휴대폰액세서리>휴대폰젠더
53,디지털/가전>휴대폰액세서리>휴대폰렌즈
54,디지털/가전>휴대폰액세서리>휴대폰거치대
55,디지털/가전>휴대폰액세서리>휴대폰줄
56,디지털/가전>휴대폰액세서리>휴대폰이어캡
57,디지털/가전>휴대폰액세서리>핸드셋
58,디지털/가전>휴대폰액세서리>휴대폰DMB수신기
59,디지털/가전>휴대폰액세서리>웨어러블 디바이스
60,디지털/가전>휴대폰액세서리>휴대폰쿨링패드
61,디지털/가전>휴대폰액세서리>기타휴대폰액세서리
63,디지털/가전>카메라/캠코더용품>DSLR카메라
64,디지털/가전>카메라/캠코더용품>미러리스디카
65,디지털/가전>카메라/캠코더용품>일반디카
66,디지털/가전>카메라/캠코더용품>캠코더
67,출산/육아>유아동잡화>기타유아동잡화
69,출산/육아>유아동의류>조끼
70,출산/육아>유아동의류>상하세트
72,출산/육아>임산부용품>임산부바디필로우
73,출산/육아>임산부용품>기타임산부용품
74,식품>축산물>양고기
77,화장품/미용>바디케어>바디크림
78,화장품/미용>바디케어>바디오일
79,화장품/미용>바디케어>바디미스트
80,화장품/미용>바디케어>바디파우더
81,화장품/미용>바디케어>바디클렌저
82,화장품/미용>바디케어>바디스크럽
83,화장품/미용>바디케어>여성청결제
84,화장품/미용>바디케어>목욕비누
85,화장품/미용>바디케어>핸드케어
86,화장품/미용>바디케어>풋케어
87,화장품/미용>바디케어>입욕제
88,화장품/미용>바디케어>아로마테라피
89,화장품/미용>바디케어>데오드란트
90,화장품/미용>바디케어>제모제
91,화장품/미용>바디케어>바디슬리밍
92,화장품/미용>바디케어>바디케어세트
94,화장품/미용>헤어케어>샴푸
95,화장품/미용>헤어케어>린스
96,화장품/미용>헤어케어>트리트먼트
97,화장품/미용>헤어케어>헤어에센스
98,화장품/미용>헤어케어>헤어팩
99,화장품/미용>헤어케어>헤어미스트
100,화장품/미용>헤어케어>두피케어
101,화장품/미용>헤어케어>탈모케어
102,화장품/미용>헤어케어>헤어케어세트
104,화장품/미용>헤어스타일링>헤어왁스
105,화장품/미용>헤어스타일링>헤어스프레이
106,화장품/미용>헤어스타일링>헤어무스
107,화장품/미용>헤어스타일링>헤어젤
108,화장품/미용>헤어스타일링>헤어글레이즈
109,화장품/미용>헤어스타일링>염색약
111,화장품/미용>향수>여성향수
112,화장품/미용>향수>남성향수
113,화장품/미용>향수>남녀공용향수
114,화장품/미용>향수>향수세트
116,화장품/미용>뷰티소품>바디소품
117,화장품/미용>뷰티소품>타투
118,화장품/미용>뷰티소품>화장품케이스
120,화장품/미용>남성화장품>스킨
121,화장품/미용>남성화장품>로션
122,화장품/미용>남성화장품>에센스
123,화장품/미용>남성화장품>크림
124,화장품/미용>남성화장품>아이케어
125,화장품/미용>남성화장품>올인원
126,화장품/미용>남성화장품>선크림
127,화장품/미용>남성화장품>클렌징
128,화장품/미용>남성화장품>스크럽/필링
129,화장품/미용>남성화장품>마스크/팩
130,화장품/미용>남성화장품>메이크업
131,화장품/미용>남성화장품>쉐이빙폼
132,화장품/미용>남성화장품>남성청결제
133,화장품/미용>남성화장품>남성화장품세트
135,화장품/미용>스킨케어>넥케어
137,출산/육아>완구/매트>캐릭터카드/딱지
138,출산/육아>인형>봉제인형
140,화장품/미용>베이스메이크업>메이크업베이스
141,화장품/미용>베이스메이크업>트윈케이크
142,화장품/미용>베이스메이크업>컨실러
143,출산/육아>유아동잡화>지갑
144,출산/육아>유아동잡화>모자
145,출산/육아>유아동잡화>장갑
146,출산/육아>유아동잡화>귀마개
147,출산/육아>유아동잡화>목도리
148,출산/육아>유아동잡화>스카프
149,출산/육아>유아동잡화>앞치마/토시/두건
150,출산/육아>유아동잡화>넥타이
151,출산/육아>유아동잡화>선글라스
153,출산/육아>수영복/용품>남아수영복
154,출산/육아>수영복/용품>여아수영복
155,출산/육아>수영복/용품>수경/수모/귀마개
156,출산/육아>수영복/용품>수영가방/비치백
158,출산/육아>유아발육용품>바운서/흔들침대
159,출산/육아>유아발육용품>보행기
160,출산/육아>유아발육용품>쏘서
161,출산/육아>유아발육용품>점퍼루
162,출산/육아>완구/매트>놀이방매트
164,생활/건강>수집품>서예/글씨
165,생활/건강>수집품>LP
166,생활/건강>수집품>공예품
167,생활/건강>수집품>포스터
168,생활/건강>수집품>이색수집품
170,생활/건강>관상어용품>사료
171,생활/건강>관상어용품>수조장식용품
172,생활/건강>관상어용품>수조청소용품
173,생활/건강>관상어용품>수족관/어항
174,생활/건강>관상어용품>수초
175,생활/건강>관상어용품>에어/기포
176,생활/건강>관상어용품>모터
177,생활/건강>관상어용품>히터
178,생활/건강>관상어용품>조명
179,생활/건강>관상어용품>여과기/여과제
180,화장품/미용>베이스메이크업>베이스메이크업세트
182,화장품/미용>색조메이크업>립스틱
183,화장품/미용>색조메이크업>립케어
184,화장품/미용>색조메이크업>립글로스
185,화장품/미용>색조메이크업>립틴트
186,화장품/미용>색조메이크업>립라이너
187,화장품/미용>색조메이크업>아이섀도
188,화장품/미용>색조메이크업>마스카라
189,화장품/미용>색조메이크업>아이브로
190,화장품/미용>색조메이크업>블러셔
191,화장품/미용>색조메이크업>하이라이터/쉐이딩
192,화장품/미용>색조메이크업>색조메이크업세트
194,화장품/미용>네일케어>매니큐어
195,화장품/미용>네일케어>네일아트
196,화장품/미용>네일케어>네일영양제
197,화장품/미용>네일케어>네일리무버
198,화장품/미용>네일케어>네일케어도구
199,화장품/미용>네일케어>네일케어세트
200,화장품/미용>바디케어>바디로션
201,출산/육아>유아동의류>니트/스웨터
202,출산/육아>유아동의류>카디건
203,출산/육아>유아동의류>바지
204,출산/육아>유아동의류>스커트
205,출산/육아>유아동의류>드레스
206,출산/육아>유아동의류>원피스
207,출산/육아>유아동의류>정장
208,출산/육아>유아동의류>트레이닝복
209,출산/육아>유아동의류>재킷
210,출산/육아>유아동의류>점퍼
211,출산/육아>유아동의류>코트
213,생활/건강>자동차용품>차량용케이블
214,생활/건강>자동차용품>스노우체인
217,패션잡화>시계>커플시계
218,패션잡화>시계>아동시계
220,패션잡화>순금>골드바
221,패션잡화>순금>순금기념품
223,패션잡화>패션소품>기타패션소품
224,패션잡화>시계>시계수리용품
225,화장품/미용>스킨케어>스킨/토너
226,화장품/미용>스킨케어>로션
227,화장품/미용>스킨케어>에센스
228,화장품/미용>스킨케어>크림
229,화장품/미용>스킨케어>아이케어
230,화장품/미용>스킨케어>미스트
231,화장품/미용>스킨케어>페이스오일
232,화장품/미용>스킨케어>화장품세트
234,화장품/미용>선케어>선크림
235,화장품/미용>선케어>선스프레이
236,화장품/미용>선케어>선스틱
237,화장품/미용>선케어>선파우더/쿠션
238,화장품/미용>선케어>애프터선
239,화장품/미용>선케어>선케어세트
241,화장품/미용>클렌징>클렌징폼
242,화장품/미용>클렌징>클렌징오일
243,화장품/미용>클렌징>클렌징크림
244,화장품/미용>클렌징>클렌징로션
245,화장품/미용>클렌징>클렌징젤
246,화장품/미용>클렌징>클렌징워터
247,화장품/미용>클렌징>클렌징티슈
248,화장품/미용>클렌징>클렌징비누
249,화장품/미용>클렌징>클렌징파우더
250,화장품/미용>클렌징>립앤아이리무버
251,화장품/미용>클렌징>스크럽/필링
252,화장품/미용>클렌징>클렌징세트
254,화장품/미용>마스크/팩>마스크시트
255,화장품/미용>마스크/팩>필오프팩
256,화장품/미용>마스크/팩>워시오프팩
257,화장품/미용>마스크/팩>코팩
258,화장품/미용>마스크/팩>수면팩
259,화장품/미용>마스크/팩>마사지크림/젤
260,화장품/미용>마스크/팩>마스크/팩세트
261,화장품/미용>베이스메이크업>BB크림
262,화장품/미용>베이스메이크업>CC크림
263,화장품/미용>베이스메이크업>프라이머
265,출산/육아>유아가구>기저귀정리함
266,출산/육아>유아가구>기타유아가구
268,출산/육아>이유식용품>유아컵
269,출산/육아>이유식용품>유아식기
270,출산/육아>이유식용품>유아스푼/포크
271,출산/육아>이유식용품>연습용젓가락
272,출산/육아>이유식용품>턱받이
273,출산/육아>이유식용품>조리기
274,출산/육아>이유식용품>과즙망
275,출산/육아>이유식용품>기타이유식용품
277,출산/육아>임부복>수유복
278,출산/육아>임부복>원피스
279,출산/육아>임부복>바지
280,출산/육아>임부복>청바지
281,출산/육아>임부복>트레이닝복/요가복
282,출산/육아>임부복>스커트
283,출산/육아>임부복>스타킹
284,출산/육아>임부복>레깅스
285,출산/육아>임부복>임부용수영복
286,출산/육아>임산부용품>산모방석
287,출산/육아>임산부용품>전자파차단앞치마
288,출산/육아>임산부용품>임산부화장품
289,출산/육아>임산부용품>임산부보호대
291,출산/육아>유아침구>속싸개
292,출산/육아>유아침구>겉싸개
293,출산/육아>유아침구>아기이불/요/패드
294,출산/육아>유아침구>보낭/슬리핑백
295,출산/육아>유아침구>방수요
296,출산/육아>유아침구>DIY 아기용품
297,출산/육아>유아침구>기타유아침구
299,출산/육아>출산/돌기념품>기저귀케이크
300,출산/육아>출산/돌기념품>탯줄보관함
301,출산/육아>출산/돌기념품>손발도장
302,출산/육아>출산/돌기념품>탯줄도장
303,출산/육아>출산/돌기념품>성장앨범/액자
304,출산/육아>출산/돌기념품>기타출산/돌기념품
306,출산/육아>신생아의류>레그/스패츠
307,출산/육아>신생아의류>바디슈트/롬퍼
308,출산/육아>신생아의류>배냇저고리
309,출산/육아>신생아의류>손/발싸개
310,출산/육아>신생아의류>신생아모자/보닛
311,출산/육아>신생아의류>우주복
312,출산/육아>유아동의류>티셔츠
313,출산/육아>유아동의류>블라우스
315,패션잡화>지갑>통장지갑
316,패션잡화>지갑>지갑기타세트
318,패션잡화>벨트>여성벨트
319,패션잡화>벨트>멜빵
321,패션잡화>모자>군모
322,패션잡화>모자>선캡
323,패션잡화>모자>비니
324,패션잡화>모자>페도라
325,패션잡화>모자>두건/반다나
326,패션잡화>모자>사파리모자
327,패션잡화>모자>헌팅캡
328,패션잡화>모자>귀달이모자
329,패션잡화>모자>방울털모자
330,패션잡화>모자>귀마개
332,패션잡화>장갑>여성장갑
333,패션잡화>장갑>남성장갑
334,패션잡화>장갑>암워머/토시
336,패션잡화>선글라스/안경테>선글라스
337,패션잡화>선글라스/안경테>선글라스 케이스/소품
338,패션잡화>선글라스/안경테>안경테
339,패션잡화>선글라스/안경테>안경케이스
340,패션잡화>선글라스/안경테>안경소품
341,패션잡화>선글라스/안경테>안경줄
343,패션잡화>헤어액세서리>헤어밴드
344,패션잡화>헤어액세서리>헤어핀
345,패션잡화>헤어액세서리>헤어끈
346,패션잡화>헤어액세서리>헤어액세서리소품
347,패션잡화>패션소품>커프스
348,패션잡화>패션소품>머플러
349,패션잡화>패션소품>넥워머
350,패션잡화>패션소품>숄
351,패션잡화>패션소품>넥케이프
352,패션잡화>패션소품>행커치프
353,패션잡화>패션소품>키홀더
354,패션잡화>패션소품>부채
355,패션잡화>패션소품>와펜
356,패션잡화>패션소품>코르사주
357,패션잡화>패션소품>한복소품
359,출산/육아>안전용품>안전문
360,출산/육아>안전용품>모서리보호대
361,출산/육아>안전용품>머리보호대
362,출산/육아>안전용품>무릎보호대
363,출산/육아>안전용품>문닫힘방지
364,출산/육아>안전용품>디딤대
365,출산/육아>안전용품>모기밴드/퇴치용품
366,출산/육아>안전용품>안전잠금장치
367,출산/육아>안전용품>콘센트안전커버
368,출산/육아>유아가구>유아침대
369,출산/육아>유아가구>유아책상
370,출산/육아>유아가구>유아공부상
371,출산/육아>유아가구>유아의자
372,출산/육아>유아가구>유아소파
373,출산/육아>유아가구>유아이유식의자
374,출산/육아>유아가구>유아옷걸이
375,출산/육아>유아가구>장난감정리함
377,출산/육아>위생/건강용품>유아변기/커버
378,출산/육아>위생/건강용품>유아면봉
379,출산/육아>위생/건강용품>유아손톱가위/손톱깎이
380,출산/육아>위생/건강용품>유아손세정제
381,출산/육아>위생/건강용품>유아마스크
382,출산/육아>위생/건강용품>기저귀휴지통
383,출산/육아>위생/건강용품>분통/파우더통
384,출산/육아>위생/건강용품>유아이발용품
385,출산/육아>위생/건강용품>제균스프레이
386,출산/육아>위생/건강용품>콧물흡입기
387,출산/육아>위생/건강용품>키재기
388,출산/육아>위생/건강용품>투약기
389,출산/육아>위생/건강용품>해열시트
391,출산/육아>구강청결용품>유아칫솔
392,출산/육아>구강청결용품>유아치약
393,출산/육아>구강청결용품>유아구강세정제
394,출산/육아>구강청결용품>유아구강청결티슈
395,출산/육아>구강청결용품>손가락빨기방지용품
396,출산/육아>위생/건강용품>유아항균팩
397,출산/육아>구강청결용품>기타구강청결용품
399,출산/육아>유아세제>유아세탁세제
400,출산/육아>유아세제>유아유연제
401,출산/육아>유아세제>유아세탁비누
403,출산/육아>소독/살균용품>젖병소독기
404,출산/육아>소독/살균용품>젖병세정제
405,출산/육아>소독/살균용품>젖병솔
406,출산/육아>소독/살균용품>젖병집게
407,출산/육아>소독/살균용품>젖병건조대
408,출산/육아>소독/살균용품>장난감소독기
410,생활/건강>화방용품>우드락/폼보드
411,생활/건강>자동차용품>배터리
412,생활/건강>자동차용품>시트커버
414,패션잡화>여성가방>숄더백
415,패션잡화>여성가방>토트백
416,패션잡화>여성가방>크로스백
417,패션잡화>여성가방>클러치백
418,패션잡화>여성가방>파우치
419,패션잡화>여성가방>백팩
420,패션잡화>여성가방>힙색
422,패션잡화>남성가방>숄더백
423,패션잡화>남성가방>토트백
424,패션잡화>남성가방>크로스백
425,패션잡화>남성가방>클러치백
